symbol,price,market_cap,enterprise_value,pe,pb,ps,peg,dividend_yield
GOOGL,328.38,3977378529280,3908260331520,32.480713,10.251303,,,0.26
AAPL,247.65,3659363778560,3717043847168,33.24161,49.619312,,,0.42
MSFT,444.11,3301143478272,3319156178944,31.541903,9.093161,,,0.82
AMZN,231.31,2472753758208,2538994925568,32.670902,6.6877723,,,
ORCL,173.88,499579846656,612049813504,32.68421,16.679136,,,1.15
CSCO,73.69,291156164608,305057169408,28.45174,6.1908765,,,2.23
IBM,297.54,278121119744,329920118784,35.463646,9.966838,,,2.26
SAP,225.1,262645415936,261637406720,31.838755,5.219442,,,1.17
INTC,54.25,258772500480,284744515584,904.1667,2.4305556,,,
CRM,221.58,210944163840,207932456960,29.583447,3.477565,,,0.75
ADBE,294.23,123164680192,120840413184,17.60802,10.454821,,,
